,Date,China,US,United_Kingdom,Italy,France,Germany,Spain,Iran,India
0,22-01-2020,548,1,0,0,0,0,0,0,0
1,23-01-2020,643,1,0,0,0,0,0,0,0
2,24-01-2020,920,2,0,0,2,0,0,0,0
3,25-01-2020,1406,2,0,0,3,0,0,0,0
4,26-01-2020,2075,5,0,0,3,0,0,0,0
5,27-01-2020,2877,5,0,0,3,1,0,0,0
6,28-01-2020,5509,5,0,0,4,4,0,0,0
7,29-01-2020,6087,5,0,0,5,4,0,0,0
8,30-01-2020,8141,5,0,0,5,4,0,0,1
9,31-01-2020,9802,7,2,2,5,5,0,0,1
10,1/2/2020,11891,8,2,2,6,8,1,0,1
11,2/2/2020,16630,8,2,2,6,10,1,0,2
12,3/2/2020,19716,11,2,2,6,12,1,0,3
13,4/2/2020,23707,11,2,2,6,12,1,0,3
14,5/2/2020,27440,11,2,2,6,12,1,0,3
15,6/2/2020,30587,11,2,2,6,12,1,0,3
16,7/2/2020,34110,11,3,3,6,13,1,0,3
17,8/2/2020,36814,11,3,3,11,13,1,0,3
18,9/2/2020,39829,11,3,3,11,14,2,0,3
19,10/2/2020,42354,11,8,3,11,14,2,0,3
20,11/2/2020,44386,12,8,3,11,16,2,0,3
21,12/2/2020,44759,12,9,3,11,16,2,0,3
22,13-02-2020,59895,13,9,3,11,16,2,0,3
23,14-02-2020,66358,13,9,3,11,16,2,0,3
24,15-02-2020,68413,13,9,3,12,16,2,0,3
25,16-02-2020,70513,13,9,3,12,16,2,0,3
26,17-02-2020,72434,13,9,3,12,16,2,0,3
27,18-02-2020,74211,13,9,3,12,16,2,0,3
28,19-02-2020,74619,13,9,3,12,16,2,2,3
29,20-02-2020,75077,13,9,3,12,16,2,5,3
30,21-02-2020,75550,15,9,20,12,16,2,18,3
31,22-02-2020,77001,15,9,62,12,16,2,28,3
32,23-02-2020,77022,15,9,155,12,16,2,43,3
33,24-02-2020,77241,51,13,229,12,16,2,61,3
34,25-02-2020,77754,51,13,322,14,17,6,95,3
35,26-02-2020,78166,57,13,453,18,27,13,139,3
36,27-02-2020,78600,58,15,655,38,46,15,245,3
37,28-02-2020,78928,60,20,888,57,48,32,388,3
38,29-02-2020,79356,68,23,1128,100,79,45,593,3
39,1/3/2020,79932,74,36,1694,130,130,84,978,3
40,2/3/2020,80136,98,40,2036,191,159,120,1501,5
41,3/3/2020,80261,118,51,2502,204,196,165,2336,6
42,4/3/2020,80386,149,86,3089,288,262,222,2922,28
43,5/3/2020,80537,219,116,3858,380,482,259,3513,30
44,6/3/2020,80690,267,164,4636,656,670,400,4747,31
45,7/3/2020,80770,403,207,5883,959,799,500,5823,34
46,8/3/2020,80823,519,274,7375,1136,1040,673,6566,39
47,9/3/2020,80860,588,322,9172,1219,1176,1073,7161,48
48,10/3/2020,80887,962,384,10149,1794,1457,1695,8042,63
49,11/3/2020,80921,1285,459,12462,2293,1908,2277,9000,71
50,12/3/2020,80932,1667,459,15113,2293,2078,2277,10075,81
51,13-03-2020,80945,2181,802,17660,3681,3675,5232,11364,91
