country,date,total,new
Afghanistan,20-01-22,0,0
Afghanistan,20-01-23,0,0
Afghanistan,20-01-24,0,0
Afghanistan,20-01-25,0,0
Afghanistan,20-01-26,0,0
Afghanistan,20-01-27,0,0
Afghanistan,20-01-28,0,0
Afghanistan,20-01-29,0,0
Afghanistan,20-01-30,0,0
Afghanistan,20-01-31,0,0
Afghanistan,20-02-01,0,0
Afghanistan,20-02-02,0,0
Afghanistan,20-02-03,0,0
Afghanistan,20-02-04,0,0
Afghanistan,20-02-05,0,0
Afghanistan,20-02-06,0,0
Afghanistan,20-02-07,0,0
Afghanistan,20-02-08,0,0
Afghanistan,20-02-09,0,0
Afghanistan,20-02-10,0,0
Afghanistan,20-02-11,0,0
Afghanistan,20-02-12,0,0
Afghanistan,20-02-13,0,0
Afghanistan,20-02-14,0,0
Afghanistan,20-02-15,0,0
Afghanistan,20-02-16,0,0
Afghanistan,20-02-17,0,0
Afghanistan,20-02-18,0,0
Afghanistan,20-02-19,0,0
Afghanistan,20-02-20,0,0
Afghanistan,20-02-21,0,0
Afghanistan,20-02-22,0,0
Afghanistan,20-02-23,0,0
Afghanistan,20-02-24,1,1
Afghanistan,20-02-25,1,0
Afghanistan,20-02-26,1,0
Afghanistan,20-02-27,1,0
Afghanistan,20-02-28,1,0
Afghanistan,20-02-29,1,0
Afghanistan,20-03-01,1,0
Afghanistan,20-03-02,1,0
Afghanistan,20-03-03,1,0
Afghanistan,20-03-04,1,0
Afghanistan,20-03-05,1,0
Afghanistan,20-03-06,1,0
Afghanistan,20-03-07,1,0
Afghanistan,20-03-08,4,3
Afghanistan,20-03-09,4,0
Afghanistan,20-03-10,5,1
Afghanistan,20-03-11,7,2
Afghanistan,20-03-12,7,0
Afghanistan,20-03-13,7,0
Afghanistan,20-03-14,11,4
Afghanistan,20-03-15,16,5
Afghanistan,20-03-16,21,5
Afghanistan,20-03-17,22,1
Afghanistan,20-03-18,22,0
Afghanistan,20-03-19,22,0
Afghanistan,20-03-20,24,2
Afghanistan,20-03-21,24,0
Afghanistan,20-03-22,40,16
Afghanistan,20-03-23,40,0
Afghanistan,20-03-24,74,34
Afghanistan,20-03-25,84,10
Afghanistan,20-03-26,94,10
Afghanistan,20-03-27,110,16
Afghanistan,20-03-28,110,0
Afghanistan,20-03-29,120,10
Afghanistan,20-03-30,170,50
Afghanistan,20-03-31,174,4
Afghanistan,20-04-01,237,63
Afghanistan,20-04-02,273,36
Afghanistan,20-04-03,281,8
Afghanistan,20-04-04,299,18
Afghanistan,20-04-05,349,50
Afghanistan,20-04-06,367,18
Afghanistan,20-04-07,423,56
Afghanistan,20-04-08,444,21
Afghanistan,20-04-09,484,40
Afghanistan,20-04-10,521,37
Afghanistan,20-04-11,555,34
Afghanistan,20-04-12,607,52
Afghanistan,20-04-13,665,58
Afghanistan,20-04-14,714,49
Afghanistan,20-04-15,784,70
Afghanistan,20-04-16,840,56
Afghanistan,20-04-17,906,66
